district_name,state_ut,institutional_birth_5y_pct,births_attended_by_skilled_hp_5y_10_pct,mothers_who_had_at_least_4_anc_visits_lb5y_pct,child_12_23m_fully_vaccinated_based_on_information_from_eit_pct,hh_member_covered_health_insurance_pct,child_u5_who_are_stunted_height_for_age_18_pct,non_pregnant_w15_49_who_are_anaemic_lt_12_0_g_dl_22_pct
Faizabad ,Uttar Pradesh,89.1,91.6,33.8 ,68.7 ,19.8,30.6 ,52.7
Ambedkar Nagar ,Uttar Pradesh,92.2,87.9,44.5 ,75.1 ,23.0,31.1 ,52.9
Bahraich ,Uttar Pradesh,67.7,70.7,34.3 ,51.8 ,10.1,52.1 ,48.8
Shrawasti ,Uttar Pradesh,80.4,84.3,42.4 ,59.6 ,13.5,50.9 ,44.6
Balrampur ,Uttar Pradesh,69.7,67.4,41.0 ,57.4 ,13.0,41.2 ,54.8
Gonda ,Uttar Pradesh,81.8,82.6,41.7 ,59.9 ,13.4,45.9 ,49.3
Siddharthnagar ,Uttar Pradesh,69.7,67.6,60.9 ,65.1 ,12.2,37.2 ,51.4
Basti ,Uttar Pradesh,93.2,92.0,31.5 ,73.8 ,15.8,35.9 ,40.3
Sant Kabir Nagar ,Uttar Pradesh,90.6,89.7,43.2 ,80.2 ,20.4,42.3 ,43.8
Mahrajganj ,Uttar Pradesh,93.3,92.0,52.5 ,76.2 ,18.2,40.5 ,47.3
Gorakhpur ,Uttar Pradesh,91.6,84.1,56.3 ,67.7 ,17.9,29.6 ,53.4
Kushinagar ,Uttar Pradesh,89.4,93.1,35.8 ,65.4 ,15.6,32.2 ,42.7
Deoria ,Uttar Pradesh,93.4,91.6,42.5 ,64.2 ,10.5,36.8 ,34.2
Azamgarh ,Uttar Pradesh,93.2,89.8,38.5 ,64.5 ,9.0,33.4 ,54.2
Mau ,Uttar Pradesh,94.7,90.7,43.2 ,59.1 ,16.0,25.4 ,44.5
Ballia ,Uttar Pradesh,90.0,93.1,30.5 ,62.2 ,10.6,43.8 ,53.0
Jaunpur ,Uttar Pradesh,88.8,86.7,47.6 ,75.1 ,12.0,40.5 ,34.1
Ghazipur ,Uttar Pradesh,88.3,90.5,29.2 ,60.8 ,10.6,39.3 ,46.2
Chandauli ,Uttar Pradesh,86.2,85.1,32.9 ,70.6 ,28.1,39.5 ,48.5
Varanasi ,Uttar Pradesh,95.2,93.4,51.4 ,79.3 ,12.8,37.4 ,38.2
Sant Ravidas Nagar (Bhadohi) ,Uttar Pradesh,90.3,92.3,25.8 ,62.2 ,18.8,42.7 ,43.2
Mirzapur ,Uttar Pradesh,91.1,88.6,36.5 ,68.3 ,15.0,43.4 ,42.3
Sonbhadra ,Uttar Pradesh,76.8,77.1,36.4 ,72.7 ,19.7,38.3 ,44.2
Etah ,Uttar Pradesh,76.7,80.8,33.6 ,55.5 ,12.8,48.8 ,56.0
Kanshiram Nagar ,Uttar Pradesh,74.8,77.2,38.1 ,69.2 ,15.1,45.1 ,66.1
Amethi ,Uttar Pradesh,90.8,91.4,31.7 ,75.9 ,20.9,35.8 ,46.6
Budaun ,Uttar Pradesh,72.3,73.1,40.6 ,69.5 ,13.6,51.8 ,56.2
Ghaziabad ,Uttar Pradesh,86.4,88.0,62.0 ,68.5 ,20.0,28.2 ,55.9
Hapur ,Uttar Pradesh,83.3,85.6,53.3 ,84.4 ,14.9,30.2 ,51.7
Moradabad ,Uttar Pradesh,80.3,85.6,33.2 ,84.5 ,17.1,34.7 ,45.5
Muzaffarnagar ,Uttar Pradesh,87.0,89.9,44.0 ,69.5 ,8.2,29.8 ,46.2
Rae Bareli ,Uttar Pradesh,89.5,90.8,43.6 ,71.4 ,16.8,47.0 ,48.3
Sambhal ,Uttar Pradesh,74.2,78.2,32.9 ,83.0 ,13.7,51.6 ,51.1
Shamli ,Uttar Pradesh,78.3,83.3,41.0 ,91.1 ,14.8,28.6 ,42.4
Sultanpur ,Uttar Pradesh,87.0,83.7,47.0 ,80.2 ,20.7,33.4 ,49.5
Uttarkashi ,Uttarakhand,85.9,84.5,66.8 ,81.8 ,80.3,34.1 ,60.8
Chamoli ,Uttarakhand,73.9,75.3,52.2 ,85.0 ,71.1,34.1 ,41.8
Rudraprayag ,Uttarakhand,86.6,85.8,76.5 ,91.4 ,76.6,25.2 ,40.7
Tehri Garhwal ,Uttarakhand,82.2,77.6,48.9 ,83.0 ,71.2,29.3 ,41.9
Dehradun ,Uttarakhand,91.7,92.7,75.3 ,(76.0),67.3,20.9 ,47.9
Garhwal ,Uttarakhand,76.0,76.9,39.6 ,(76.0),62.7,30.0 ,40.8
Pithoragarh ,Uttarakhand,84.9,83.2,58.7 ,96.0 ,72.8,25.6 ,25.2
Bageshwar ,Uttarakhand,82.0,85.0,67.9 ,(86.9),71.9,23.6 ,27.8
Almora ,Uttarakhand,80.1,85.4,44.3 ,(85.1),66.0,26.0 ,34.0
Champawat ,Uttarakhand,79.8,80.7,62.0 ,91.9 ,65.7,24.9 ,32.6
Nainital ,Uttarakhand,81.2,83.9,59.7 ,74.1 ,60.8,23.2 ,34.6
Udham Singh Nagar ,Uttarakhand,85.1,81.6,75.9 ,83.2 ,59.0,26.8 ,51.1
Hardwar ,Uttarakhand,79.8,83.2,48.5 ,76.5 ,46.6,31.1 ,42.8
Darjiling ,West Bengal,98.4,99.2,79.2 ,94.2 ,26.3,34.3 ,59.1
Jalpaiguri ,West Bengal,95.8,97.7,88.4 ,87.9 ,35.8,28.9 ,72.2
Koch Bihar ,West Bengal,93.0,92.5,77.3 ,94.2 ,36.0,28.7 ,74.9
Uttar Dinajpur ,West Bengal,76.9,84.7,70.1 ,84.4 ,21.0,44.8 ,71.9
Dakshin Dinajpur ,West Bengal,91.4,94.0,76.4 ,92.6 ,28.3,31.9 ,82.8
Maldah ,West Bengal,87.7,88.9,82.8 ,87.2 ,29.0,40.5 ,73.8
Murshidabad ,West Bengal,87.0,92.3,66.9 ,90.0 ,28.4,39.8 ,78.0
Birbhum ,West Bengal,90.3,92.2,78.4 ,81.6 ,37.7,37.0 ,78.2
Nadia ,West Bengal,97.7,98.6,71.2 ,(89.9),23.0,26.1 ,73.8
North Twenty Four Pargana ,West Bengal,97.5,98.3,89.9 ,(92.8),30.7,32.4 ,65.4
Hugli ,West Bengal,97.0,97.4,72.2 ,(95.4),26.5,28.9 ,75.1
Bankura ,West Bengal,93.3,93.8,75.7 ,(85.0),43.4,30.3 ,77.3
Puruliya ,West Bengal,89.8,91.4,57.8 ,84.7 ,35.6,36.9 ,76.9
Haora ,West Bengal,95.5,96.9,82.7 ,(87.8),20.1,27.5 ,65.6
Kolkata ,West Bengal,97.5,99.3,71.7 ,(80.2),21.1,29.6 ,58.4
South Twenty Four Pargana ,West Bengal,91.0,93.2,87.5 ,91.7 ,36.7,36.7 ,62.1
Paschim Medinipur ,West Bengal,87.6,95.1,63.1 ,76.9 ,25.8,31.1 ,82.0
Purba Medinipur ,West Bengal,91.5,94.6,56.8 ,88.4 ,21.5,25.8 ,70.5
Paschim Barddhaman ,West Bengal,89.8,91.3,70.4 ,62.4 ,21.8,39.7 ,66.5
